"About the data: Exported on Oct 26, 2022. Criteria: 'plant pollinator agriculture' in full data; Repository is Frontiers or DRYAD or Public Library of Science or The Royal Society or UC Santa Barbara or NERC Environmental Data Service or Iowa State University or Taylor & Francis Group. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,
Rank,Data ID,DOI,Title,Description,Repository,Publication Date,Publication year,Dataset author,Associated publication,Dimensions URL,Source linkout,Fields of Research (ANZSRC 2020),Sustainable Development Goals
156,dataset.25837,10.5061/dryad.913qd93,Data from: Honey bee dietary neonicotinoid exposure is associated with pollen collection from agricultural weeds,"Neonicotinoid insecticides have been linked to bee declines. However, tracking the primary exposure route for bees in the field has proven to be a major logistical challenge, impeding efforts to restore pollinator health in agricultural landscapes. We quantified neonicotinoid concentrations and botanical species composition in 357 pollen samples collected from 114 commercial honey bee colonies placed along a gradient of agricultural intensity between June and September. Neonicotinoid concentrations increased through the season, peaking at the end of August. As a result, concentrations in pollen were negatively associated with collection from woody and crop plants that flower early-mid season, and positively associated with collection from herbaceous plants that flower mid-late season. Higher clothianidin and thiamethoxam residues were correlated with samples containing a greater proportion of pollen collected from agricultural weeds. The percentage of agricultural land within 1,500 m was positively correlated with thiamethoxam concentration; however, this spatial relationship was far weaker than the relationship with the proportion of pollen collected from herbaceous plants. These results indicate that both plant species identity and agricultural dominance are important in determining honey bee neonicotinoid exposure through the pollen diet, but that uncultivated plants associated with agriculture are the source of the greatest acute exposure.",DRYAD,2019-01-01,2019,"Wood, Thomas; Kaplan, Ian; Zhang, Yajun; Szendrei, Zsofia",,https://app.dimensions.ai/details/data_set/dataset.25837,http://datadryad.org/stash/dataset/doi:10.5061/dryad.913qd93,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology",
156,dataset.7733406,10.1371/journal.pone.0212034,Landscape and local site variables differentially influence pollinators and pollination services in urban agricultural sites,"Urbanization has detrimental effects on biodiversity and ecosystem functioning, as agricultural and semi-natural habitats are converted into landscapes dominated by built features. Urban agricultural sites are a growing component of urban landscapes and have potential to serve as a source of biodiversity conservation and ecosystem service provisioning in urban areas. In 19 urban agricultural sites, we investigated how surrounding land cover and local site variables supported bees and pollination services. We found the abundance of bees differentially responded to landscape and local scale variables depending on body size and nesting habit. Large-bodied bees, Bombus and Apis species, were positively associated with increasing amounts of impervious cover, while the abundance of small-bodied soil nesting Halictus species increased as the proportion of flower area, a local variable, increased. Bee richness declined with increasing levels of impervious cover, while bee community composition changed along a gradient of increasing impervious cover. Pollination services, measured at each site using sentinel cucumber plants, declined as hardscape, a local variable, increased. To improve bee conservation and pollination services in urban agricultural sites, our results suggest urban planning strategies should minimize impervious cover at large spatial scales while land managers should focus locally on incorporating floral resources, which increases food and nesting resources especially for smaller bee species. Local site design coupled with regional urban planning can advance the success of urban agriculture, while benefiting biodiversity by creating opportunities for pollinator conservation in urban landscapes.",Public Library of Science,2019-02-13,2019,Ashley B. Bennett; Sarah Lovell,pub.1112096702,https://app.dimensions.ai/details/data_set/dataset.7733406,https://plos.figshare.com/articles/dataset/Landscape_and_local_site_variables_differentially_influence_pollinators_and_pollination_services_in_urban_agricultural_sites/7715522,"30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology; 41 Environmental Sciences; 41 Environmental Sciences; 4102 Ecological Applications",15 Life on Land
154,dataset.2053755,10.5063/aa/marjaana_toivonen.37.9,"Species diversity of green fallows, field experiment in Ypäjä, Finland, 2003 - 2008.","The data originate from national monitoring on the effects of the Finnish agri-environment support scheme (MYTVAS). Field experiment was conducted from 2003 to 2008 to examine the succession of plant and pollinator communities on long-term set-aside. The effects of two factors, seed mixture and mowing, were studied. The experiment was conducted in Ypäjä, south-western Finland, on a large clay soil field parcel as a strip plot design. The seed mixture treatments were the competitive (standard) grass mixture, a less competitive grass mixture and a diverse nectar and pollen plant seed mixture. The habitat management treatment was either annual mowing or no mowing. Coverages of plant species was estimated twice each summer. Pollinators were counted four times each summer using the line-transect method. For comparison with the experimental study plots, the pollinators on 10 surrounding, uncultivated field margins were also monitored. Insect food available to birds was assessed by sweep netting the vegetation five times per summer in 2004 - 2008. The methods are described in the following publications: Hyvönen, T., Huusela-Veistola, E., Kuussaari, M. & Alanen, E.-L. 2010. Viherkesantojen luontovaikutukset. (Effects of green fallows on farmland biodiversity, in Finnish). In: Aakkula, J., Manninen, T. & Nurro, M. (eds.). Follow-up study on the impacts of agri-environment measures (MYTVAS 3). Mid-term report. Maa- ja metsätalousministeriön julkaisuja 1: 105-114. Alanen E.-L., Hyvönen, T., Lindgren, S., Härmä, O. & Kuussaari, M. 2011. Differential responses of bumblebees and diurnal Lepidoptera to vegetation succession in long-term set-aside. Journal of Applied Ecology 48: 1251-1259. Huusela-Veistola, E. 2007. Kesantojen ekosysteemipalvelut: lintujen hyönteisravinto ja tuholaisten luontaiset viholliset. In: Salonen, J., Keskitalo, M. & Segerstedt, M. (eds.). Peltoluonnon ja viljelyn monimuotoisuus. Maa- ja elintarviketalous 110: 47 - 69. Hyvönen, T. 2007. Kesantojen kasvilajiston monimuotoisuus ja siemenravinnon tuotto linnuille. In: Salonen, J., Keskitalo, M. & Segerstedt, M. (eds.). Peltoluonnon ja viljelyn monimuotoisuus. Maa- ja elintarviketalous 110: 13 - 25. Kuussaari, M., Härmä, O. & Hyvönen, T. 2007. Viherkesantojen merkitys pölyttäjähyönteisille. In: Salonen, J., Keskitalo, M. & Segerstedt, M. (eds.). Peltoluonnon ja viljelyn monimuotoisuus. Maa- ja elintarviketalous 110: 47 - 69. Kuussari, M., Hyvönen, T. & Härmä, O. 2011. Pollinator insects benefit from rotational fallows. Agriculture, Ecosystems and Environment 143: 28-36.",UC Santa Barbara,2011-01-01,2011,"MTT Agrifood Research Finland, Plant Production Research; Finnish Environmental Institute",,https://app.dimensions.ai/details/data_set/dataset.2053755,https://knb.ecoinformatics.org/view/doi:10.5063/AA/Marjaana_Toivonen.37.9,"30 Agricultural, Veterinary and Food Sciences; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology",
154,dataset.2053749,10.5063/aa/marjaana_toivonen.37.8,"Species diversity of green fallows, field experiment in Ypäjä, Finland, 2003 - 2008.","The data originate from national monitoring on the effects of the Finnish agri-environment support scheme (MYTVAS). Field experiment was conducted from 2003 to 2008 to examine the succession of plant and pollinator communities on long-term set-aside. The effects of two factors, seed mixture and mowing, were studied. The experiment was conducted in Ypäjä, south-western Finland, on a large clay soil field parcel as a strip plot design. The seed mixture treatments were the competitive (standard) grass mixture, a less competitive grass mixture and a diverse nectar and pollen plant seed mixture. The habitat management treatment was either annual mowing or no mowing. Coverages of plant species was estimated twice each summer. Pollinators were counted four times each summer using the line-transect method. For comparison with the experimental study plots, the pollinators on 10 surrounding, uncultivated field margins were also monitored. Insect food available to birds was assessed by sweep netting the vegetation five times per summer in 2004 - 2008. The methods are described in the following publications: Hyvönen, T., Huusela-Veistola, E., Kuussaari, M. & Alanen, E.-L. 2010. Viherkesantojen luontovaikutukset. (Effects of green fallows on farmland biodiversity, in Finnish). In: Aakkula, J., Manninen, T. & Nurro, M. (eds.). Follow-up study on the impacts of agri-environment measures (MYTVAS 3). Mid-term report. Maa- ja metsätalousministeriön julkaisuja 1: 105-114. Alanen E.-L., Hyvönen, T., Lindgren, S., Härmä, O. & Kuussaari, M. 2011. Differential responses of bumblebees and diurnal Lepidoptera to vegetation succession in long-term set-aside. Journal of Applied Ecology 48: 1251-1259. Huusela-Veistola, E. 2007. Kesantojen ekosysteemipalvelut: lintujen hyönteisravinto ja tuholaisten luontaiset viholliset. In: Salonen, J., Keskitalo, M. & Segerstedt, M. (eds.). Peltoluonnon ja viljelyn monimuotoisuus. Maa- ja elintarviketalous 110: 47 - 69. Hyvönen, T. 2007. Kesantojen kasvilajiston monimuotoisuus ja siemenravinnon tuotto linnuille. In: Salonen, J., Keskitalo, M. & Segerstedt, M. (eds.). Peltoluonnon ja viljelyn monimuotoisuus. Maa- ja elintarviketalous 110: 13 - 25. Kuussaari, M., Härmä, O. & Hyvönen, T. 2007. Viherkesantojen merkitys pölyttäjähyönteisille. In: Salonen, J., Keskitalo, M. & Segerstedt, M. (eds.). Peltoluonnon ja viljelyn monimuotoisuus. Maa- ja elintarviketalous 110: 47 - 69. Kuussari, M., Hyvönen, T. & Härmä, O. 2011. Pollinator insects benefit from rotational fallows. Agriculture, Ecosystems and Environment 143: 28-36.",UC Santa Barbara,2011-01-01,2011,"MTT Agrifood Research Finland, Plant Production Research; Finnish Environmental Institute",,https://app.dimensions.ai/details/data_set/dataset.2053749,https://knb.ecoinformatics.org/view/doi:10.5063/AA/Marjaana_Toivonen.37.8,"30 Agricultural, Veterinary and Food Sciences; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology",
147,dataset.2676401,10.5061/dryad.g4623,"Data from: Forest fragmentation and loss reduce richness, availability, and specialization in tropical hummingbird communities","Hummingbirds are important pollinators of many native Neotropical plants but their abundance and diversity in landscapes dominated by intensive human uses such as agriculture have rarely been examined, despite such land-uses prevailing in the tropics. We examined how tropical deforestation affects hummingbird community structure in premontane forest patches embedded in a tropical countryside of Coto Brus Canton, Costa Rica. We captured hummingbirds in fourteen landscapes representing a gradient in patch size and forest amount, and tested for the effects of these variables on (1) hummingbird captures at flowers (pollinator availability); (2) species richness; and (3) filtering of functional traits. After accounting for sampling effects, both hummingbird availability and species richness declined by 40% and 50%, respectively, across the gradient in deforestation that we observed (9–66% forest within 1000 m). Focal patch size was the strongest predictor, even after statistically accounting for the amount of forest and matrix composition of landscapes. These reductions in availability and richness were well predicted by functional traits; morphologically specialized species with the capacity to transport long-distance outcrossed pollen and low functional redundancy within the pollinator network showed the greatest sensitivity to landscape change. We hypothesize that declines in hummingbird availability, diversity, and functional traits are important mechanisms driving the observed pollen limitation of ornithophilous flowers in fragmented tropical landscapes. Efforts to conserve large forest patches and enhance matrix permeability are critical for maintaining forest hummingbird communities and pollination services under current and predicted deforestation regimes.",DRYAD,2017-01-01,2017,"Hadley, Adam S.; Frey, Sarah J. K.; Robinson, W. Douglas; Betts, Matthew G.",,https://app.dimensions.ai/details/data_set/dataset.2676401,http://datadryad.org/stash/dataset/doi:10.5061/dryad.g4623,"30 Agricultural, Veterinary and Food Sciences; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology; 41 Environmental Sciences; 41 Environmental Sciences; 4102 Ecological Applications",15 Life on Land
143,dataset.7793961,10.3389/fpls.2018.01357.s002,Table_2_Crop Domestication Alters Floral Reward Chemistry With Potential Consequences for Pollinator Health.docx,"Crop domestication can lead to weakened expression of plant defences, with repercussions for herbivore and pathogen susceptibility. However, little is known about how domestication alters traits that mediate other important ecological interactions in crops, such as pollination. Secondary metabolites, which underpin many defence responses in plants, also occur widely in nectar and pollen and influence plant-pollinator interactions. Thus, domestication may also affect secondary compounds in floral rewards, with potential consequences for pollinators. To test this hypothesis, we chemically analysed nectar and pollen from wild and cultivated plants of highbush blueberry (Vaccinium corymbosum L.), before conducting an artificial diet bioassay to examine pollinator-pathogen interactions. Our results indicated that domestication has significantly altered the chemical composition of V. corymbosum nectar and pollen, and reduced pollen chemical diversity in cultivated plants. Of 20 plant metabolites identified in floral rewards, 13 differed significantly between wild and cultivated plants, with a majority showing positive associations with wild compared to cultivated plants. These included the amino acid phenylalanine (4.5 times higher in wild nectar, 11 times higher in wild pollen), a known bee phagostimulant and essential nutrient; and the antimicrobial caffeic acid ester 4-O-caffeoylshikimic acid (two times higher in wild nectar). We assessed the possible biological relevance of variation in caffeic acid esters in bioassays, using the commercially available 3-O-caffeoylquinic acid. This compound reduced Bombus impatiens infection by a prominent gut pathogen (Crithidia) at concentrations that occurred in wild but not cultivated plants, suggesting that domestication may influence floral traits with consequences for bee health. Appreciable levels of genetic variation and heritability were found for most floral reward chemical traits, indicating good potential for selective breeding. Our study provides the first assessment of plant domestication effects on floral reward chemistry and its potential repercussions for pollinator health. Given the central importance of pollinators for agriculture, we discuss the need to extend such investigations to pollinator-dependent crops more generally and elaborate on future research directions to ascertain wider trends, consequences for pollinators, mechanisms, and breeding solutions.",Frontiers,2018-09-26,2018,Paul A. Egan; Lynn S. Adler; Rebecca E. Irwin; Iain W. Farrell; Evan C. Palmer-Young; Philip C. Stevenson,pub.1107223882,https://app.dimensions.ai/details/data_set/dataset.7793961,https://frontiersin.figshare.com/articles/dataset/Table_2_Crop_Domestication_Alters_Floral_Reward_Chemistry_With_Potential_Consequences_for_Pollinator_Health_docx/7133714,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology; 3108 Plant Biology",
143,dataset.7793951,10.3389/fpls.2018.01357.s001,Table_1_Crop Domestication Alters Floral Reward Chemistry With Potential Consequences for Pollinator Health.docx,"Crop domestication can lead to weakened expression of plant defences, with repercussions for herbivore and pathogen susceptibility. However, little is known about how domestication alters traits that mediate other important ecological interactions in crops, such as pollination. Secondary metabolites, which underpin many defence responses in plants, also occur widely in nectar and pollen and influence plant-pollinator interactions. Thus, domestication may also affect secondary compounds in floral rewards, with potential consequences for pollinators. To test this hypothesis, we chemically analysed nectar and pollen from wild and cultivated plants of highbush blueberry (Vaccinium corymbosum L.), before conducting an artificial diet bioassay to examine pollinator-pathogen interactions. Our results indicated that domestication has significantly altered the chemical composition of V. corymbosum nectar and pollen, and reduced pollen chemical diversity in cultivated plants. Of 20 plant metabolites identified in floral rewards, 13 differed significantly between wild and cultivated plants, with a majority showing positive associations with wild compared to cultivated plants. These included the amino acid phenylalanine (4.5 times higher in wild nectar, 11 times higher in wild pollen), a known bee phagostimulant and essential nutrient; and the antimicrobial caffeic acid ester 4-O-caffeoylshikimic acid (two times higher in wild nectar). We assessed the possible biological relevance of variation in caffeic acid esters in bioassays, using the commercially available 3-O-caffeoylquinic acid. This compound reduced Bombus impatiens infection by a prominent gut pathogen (Crithidia) at concentrations that occurred in wild but not cultivated plants, suggesting that domestication may influence floral traits with consequences for bee health. Appreciable levels of genetic variation and heritability were found for most floral reward chemical traits, indicating good potential for selective breeding. Our study provides the first assessment of plant domestication effects on floral reward chemistry and its potential repercussions for pollinator health. Given the central importance of pollinators for agriculture, we discuss the need to extend such investigations to pollinator-dependent crops more generally and elaborate on future research directions to ascertain wider trends, consequences for pollinators, mechanisms, and breeding solutions.",Frontiers,2018-09-26,2018,Paul A. Egan; Lynn S. Adler; Rebecca E. Irwin; Iain W. Farrell; Evan C. Palmer-Young; Philip C. Stevenson,pub.1107223882,https://app.dimensions.ai/details/data_set/dataset.7793951,https://frontiersin.figshare.com/articles/dataset/Table_1_Crop_Domestication_Alters_Floral_Reward_Chemistry_With_Potential_Consequences_for_Pollinator_Health_docx/7133711,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology; 3108 Plant Biology",
141,dataset.33297,10.5061/dryad.np5hqbzp5,"Data S1 from ""Global scale drivers of crop visitor diversity and the historical development of agriculture.""","Understanding diversity in flower visitor assemblages helps us improve pollination of crops and support better biodiversity conservation outcomes. Much recent research has focused on drivers of crop-visitor diversity operating over spatial scales from fields to landscapes, such as pesticide and habitat management, while drivers operating over larger scales of continents and biogeographic realms are virtually unknown. Flower and visitor traits influence attraction of pollinators to flowers, and evolve in the context of associations that can be ancient or recent. Plants that have been adopted into agriculture have been moved widely around the world and thereby exposed to new flower visitors. Remarkably little is known of the consequence of these historical patterns for present day crop-visiting bee diversity. We analyze data from 317 studies of 27 crops worldwide and find that crops are visited by fewer bee genera outside their region of origin and outside their family’s region of origin. Thus, recent human history and the deeper evolutionary history of crops and bees appear to be important determinants of flower-visitor diversity at large scales that constrain the levels of visitor diversity that can be influenced by field- and landscape-scale interventions.",DRYAD,2019-01-01,2019,"Brown, Julian; Cunningham, Saul",,https://app.dimensions.ai/details/data_set/dataset.33297,http://datadryad.org/stash/dataset/doi:10.5061/dryad.np5hqbzp5,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences",
140,dataset.8739734,10.1371/journal.pone.0090082,Pollination and Plant Resources Change the Nutritional Quality of Almonds for Human Health,"Insect-pollinated crops provide important nutrients for human health. Pollination, water and nutrients available to crops can influence yield, but it is not known if the nutritional value of the crop is also influenced. Almonds are an important source of critical nutrients for human health such as unsaturated fat and vitamin E. We manipulated the pollination of almond trees and the resources available to the trees, to investigate the impact on the nutritional composition of the crop. The pollination treatments were: (a) exclusion of pollinators to initiate self-pollination and (b) hand cross-pollination; the plant resource treatments were: (c) reduced water and (d) no fertilizer. In an orchard in northern California, trees were exposed to a single treatment or a combination of two (one pollination and one resource). Both the fat and vitamin E composition of the nuts were highly influenced by pollination. Lower proportions of oleic to linoleic acid, which are less desirable from both a health and commercial perspective, were produced by the self-pollinated trees. However, higher levels of vitamin E were found in the self-pollinated nuts. In some cases, combined changes in pollination and plant resources sharpened the pollination effects, even when plant resources were not influencing the nutrients as an individual treatment. This study highlights the importance of insects as providers of cross-pollination for fruit quality that can affect human health, and, for the first time, shows that other environmental factors can sharpen the effect of pollination. This contributes to an emerging field of research investigating the complexity of interactions of ecosystem services affecting the nutritional value and commercial quality of crops.",Public Library of Science,2014-02-27,2014,Claire Brittain; Claire Kremen; Andrea Garber; Alexandra-Maria Klein,pub.1017170196,https://app.dimensions.ai/details/data_set/dataset.8739734,https://plos.figshare.com/articles/dataset/_Pollination_and_Plant_Resources_Change_the_Nutritional_Quality_of_Almonds_for_Human_Health_/947095,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 31 Biological Sciences; 3108 Plant Biology",
140,dataset.28013,10.5061/dryad.6836p06,"Data from: Seasonal shifts and complementary use of pollen sources by two bee, a lacewing and a ladybeetle species in European agricultural landscapes","1. Continuous availability of food resources, such as pollen, is vital for many insects that provide pollination and pest control services to agriculture. However, there is a lack of knowledge about the shared or complementary use of floral resources by such species, which hampers more effective landscape management to simultaneously promote them in agroecosystems. 2. Here, we simultaneously quantified pollen use by a bumblebee (Bombus terrestris) and a mason bee (Osmia bicornis), two bee species recognized as important crop pollinators, as well as a lacewing (Chrysoperla carnea) and a ladybeetle species (Harmonia axyridis), both common predators of crop aphids, throughout the season in 23 agricultural landscapes in Germany and Switzerland. 3. Pollen diets were more diverse and similar among C. carnea and H. axyridis compared to the two bee species, but all four species shared key pollen types early in the season such as Acer, Quercus, Salix and Prunus. All species exhibited a pronounced shift in pollen sources from primarily woody plants (mainly trees) in spring to primarily herbaceous plants in summer. The majority of pollen (overall ≥64%) came from non-agricultural plants even in crop-dominated landscapes. 4. Synthesis and applications. Our results highlight the importance of trees as pollen sources for many insect species, particularly early in the season. Our findings support incentives that promote heterogeneous agricultural landscapes including both woody and herbaceous semi-natural habitats, ensuring phenological complementarity of floral resources for insect species that can provide pollination and pest control services to agriculture. The identified key plant species can help to design and optimize agri-environment schemes to promote these functionally important insects.",DRYAD,2019-01-01,2019,"Bertrand, Colette; Eckerter, Philipp W.; Ammann, Lolita; Entling, Martin H.; Gobet, Erika; Herzog, Felix; Mestre, Laia; Tinner, Willy; Albrecht, Matthias",,https://app.dimensions.ai/details/data_set/dataset.28013,http://datadryad.org/stash/dataset/doi:10.5061/dryad.6836p06,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology; 41 Environmental Sciences",2 Zero Hunger
135,dataset.57924,10.5061/dryad.8n4p8,Data from: Small-scale restoration in intensive agricultural landscapes supports more specialized and less mobile pollinator species,"1. Agriculture now constitutes 40–50% of terrestrial land use globally. By enhancing habitat suitability and connectivity, restoration within agricultural landscapes could have a major influence on biodiversity conservation. However, habitat management within intensive agricultural landscapes may primarily boost abundances of common, highly mobile generalists, rather than vulnerable or endangered species. We studied pollinator community response to small-scale habitat restoration in the intensively farmed Central Valley of California to determine whether restoration could also promote more specialized, less common, and/or less mobile species. 2. Composition of pollinator communities was assessed in five experimental and 10 control (unrestored) sites before and after restoration of native plant hedgerows over an 8-year period, using a before-after-control-impact design. 3. We characterized bee and fly species based on functional response traits [floral specialization, habitat specialization, abundance, body size, and sociality (bees only)] known to influence the response to habitat change. 4. We modelled how species occurrences changed with habitat restoration over time as modulated by their response traits. 5. We found that hedgerows not only significantly enhanced occurrences of native bee and syrphid fly species, but that as hedgerows matured, they had a greater positive effect on species that were more specialized in floral and nesting resources and smaller (less mobile). 6. Synthesis and applications. Unlike previous studies that suggest habitat restoration in agricultural landscapes only benefits mobile, generalist species, our results suggest that small-scale habitat restoration can promote species whose traits likely render them particularly vulnerable to habitat degradation. Thus, even within highly intensive agricultural landscapes, small-scale habitat restoration can be a conservation management tool. However, tailoring habitat enhancements to promote certain species or guilds may be critical for their success as a conservation intervention in agricultural landscapes.",DRYAD,2016-01-01,2016,"Kremen, Claire; M'Gonigle, Leithen K.",,https://app.dimensions.ai/details/data_set/dataset.57924,http://datadryad.org/stash/dataset/doi:10.5061/dryad.8n4p8,31 Biological Sciences; 31 Biological Sciences; 3103 Ecology; 41 Environmental Sciences; 41 Environmental Sciences; 4101 Climate Change Impacts and Adaptation; 4102 Ecological Applications,15 Life on Land
128,dataset.28215395,10.5061/dryad.hdr7sqvh1,Data from: A multi-taxa assessment of the effectiveness of agri-environmental schemes for biodiversity management,"Agri-environmental schemes (AES) aim to restore biodiversity and biodiversity-mediated ecosystem services in landscapes impoverished by modern agriculture. However, a systematic, empirical evaluation of different AES types across multiple taxa and functional groups is missing. Within one orthogonal design, we studied sown flowering AES types with different temporal continuity, size, and landscape context and used calcareous grasslands as semi-natural reference habitat. We measured species richness of twelve taxonomic groups (vascular plants, cicadas, orthopterans, bees, butterflies, moths, hoverflies, flower visiting beetles, parasitoid wasps, carabid beetles, staphylinid beetles and birds) representing five trophic levels. A total of 54,955 specimens were identified using traditional taxonomic methods and bulk arthropod samples were identified through DNA metabarcoding, resulting in a total of 1077 and 2110 taxa, respectively. Species richness of most taxonomic groups as well as multidiversity and richness of pollinators increased with temporal continuity of AES types. Some groups responded to size and landscape context but multidiversity and richness of pollinators and natural enemies were not affected. AES flowering fields supported different species assemblages than calcareous grasslands, but assemblages became more similar to those in semi-natural grasslands with increasing temporal continuity. Our results indicate that AES flowering fields and semi-natural grasslands function synergistically. Flowering fields support biodiversity even when they are relatively small and in landscapes with few remaining semi-natural habitats. We, therefore, recommend a network of smaller, temporally continuous AES flowering fields of different ages combined with permanent semi-natural grasslands to maximize benefits for biodiversity conservation and ecosystem service delivery in agricultural landscapes.",DRYAD,2021-01-01,2021,"Boetzl, Fabian A.; Krauss, Jochen; Heinze, Jonathan; Hoffmann, Hannes; Juffa, Jan; König, Sebastian; Krimmer, Elena; Prante, Maren; Martin, Emily A.; Holzschuh, Andrea; Steffan-Dewenter, Ingolf",,https://app.dimensions.ai/details/data_set/dataset.28215395,http://datadryad.org/stash/dataset/doi:10.5061/dryad.hdr7sqvh1,31 Biological Sciences; 31 Biological Sciences; 3103 Ecology; 41 Environmental Sciences; 41 Environmental Sciences; 4102 Ecological Applications,15 Life on Land
124,dataset.8805259,10.1371/journal.pone.0070182,Crop Pollination Exposes Honey Bees to Pesticides Which Alters Their Susceptibility to the Gut Pathogen <i>Nosema ceranae</i>,"Recent declines in honey bee populations and increasing demand for insect-pollinated crops raise concerns about pollinator shortages. Pesticide exposure and pathogens may interact to have strong negative effects on managed honey bee colonies. Such findings are of great concern given the large numbers and high levels of pesticides found in honey bee colonies. Thus it is crucial to determine how field-relevant combinations and loads of pesticides affect bee health. We collected pollen from bee hives in seven major crops to determine 1) what types of pesticides bees are exposed to when rented for pollination of various crops and 2) how field-relevant pesticide blends affect bees’ susceptibility to the gut parasite Nosema ceranae. Our samples represent pollen collected by foragers for use by the colony, and do not necessarily indicate foragers’ roles as pollinators. In blueberry, cranberry, cucumber, pumpkin and watermelon bees collected pollen almost exclusively from weeds and wildflowers during our sampling. Thus more attention must be paid to how honey bees are exposed to pesticides outside of the field in which they are placed. We detected 35 different pesticides in the sampled pollen, and found high fungicide loads. The insecticides esfenvalerate and phosmet were at a concentration higher than their median lethal dose in at least one pollen sample. While fungicides are typically seen as fairly safe for honey bees, we found an increased probability of Nosema infection in bees that consumed pollen with a higher fungicide load. Our results highlight a need for research on sub-lethal effects of fungicides and other chemicals that bees placed in an agricultural setting are exposed to.",Public Library of Science,2013-07-24,2013,Jeffery S. Pettis; Elinor M. Lichtenberg; Michael Andree; Jennie Stitzinger; Robyn Rose; Dennis vanEngelsdorp,pub.1044270019,https://app.dimensions.ai/details/data_set/dataset.8805259,https://plos.figshare.com/articles/dataset/Crop_Pollination_Exposes_Honey_Bees_to_Pesticides_Which_Alters_Their_Susceptibility_to_the_Gut_Pathogen_Nosema_ceranae_/753593,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 31 Biological Sciences; 3109 Zoology",
115,dataset.24591715,10.6084/m9.figshare.13547255.v1,"Bees and crops in Spain: an update for melon, watermelon and almond","Pollinators of most of the plants cultivated in the Mediterranean regions of Europe are still unknown. We provide new data and we review previously available information on bees (Apoidea) associated with three economically important crops in Spain: melon (Cucumis melo L.), watermelon (Citrullus lanatus (Thunb.) Matsum. & Nakai) and almond (Prunus dulcis (Mill.) D.A.Webb). We found that, overall, 98 bee species spanning four families visit flowers of the studied crop species, and 46 additional species were sampled within the crops with pan-traps. The bee assemblages visiting melon include 7–33 species, with moderate to high importance of small Lasioglossum (Halictidae) and of honey bee (Apis mellifera Linnaeus, 1758: Apidae), and in one case of small Ceratina: Apidae. Watermelon flowers are visited by 11–14 species of bees, with highest abundance of honey bees or of small Lasioglossum, depending on the locality. Bees collected on almond trees included 12–37 species, with the honey bee and medium-size to large Andrena (Andrenidae) and Osmia (Megachilidae) being predominant. The new samples expanded the geographical distributions of nearly one-fourth of the collected species. Diversity estimators slightly varied even within fields of the same crop, and a cluster analysis suggested both a certain overlap between melon and watermelon and a role of geographical distance on similarity among bee assemblages, though these patterns were much clearer using presence data rather than abundances. Below-ground-nesting and solitary species were more frequently collected than above-ground-nesting and eusocial species, but for melon and watermelon the highest abundances were recorded for eusocial species. Almost exclusively polylectic species visited the flowers of the three studied crops. The results of this study could help in planning conservation actions to maintain this important diversity of potential pollinators in Spanish areas covered by these crops.",Taylor & Francis Group,2021-01-08,2021,Sara Rodrigo Gómez; Concepción Ornosa; Jaime García Gila; Javier Blasco-Aróstegui; Jesús Selfa; Miguel Guara; Carlo Polidori,pub.1134463493,https://app.dimensions.ai/details/data_set/dataset.24591715,https://tandf.figshare.com/articles/dataset/Bees_and_crops_in_Spain_an_update_for_melon_watermelon_and_almond/13547255,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology",
